"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 4, 9
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\@fortawesome-D46myhqq.js", "JavaScript", 0, 495, 0, 0, 0, 0, 0, 62, 557
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\@remix-run-CDTKzl14.js", "JavaScript", 0, 1, 0, 0, 0, 0, 11, 0, 12
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\@tanstack-D2dsDbMT.js", "JavaScript", 0, 6, 0, 0, 0, 0, 16, 1, 23
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\axios-CCb-kr4I.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\dayjs-Bof1u0Bp.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\dayjs-plugin-utc-N-J57KDX.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\file-saver-BltXWcXH.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\index-DHiXkKyp.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\index-gXdRFcSl.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\prop-types-DePnx8Ce.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-dom-Ccb256YQ.js", "JavaScript", 0, 9, 0, 0, 0, 0, 7, 1, 17
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-jk4j9Fmt.js", "JavaScript", 0, 3, 0, 0, 0, 0, 14, 1, 18
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-number-format-C6akExkf.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-redux-C1pLMJR6.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-router-CJLUTN7I.js", "JavaScript", 0, 2, 0, 0, 0, 0, 9, 0, 11
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-router-dom-gJztbWZE.js", "JavaScript", 0, 2, 0, 0, 0, 0, 8, 1, 11
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\react-to-print-CPJx1Te-.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 1, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\redux-C_QmFX3e.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\redux-thunk-CWbY1Mp_.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\scheduler-CzFDRTuY.js", "JavaScript", 0, 2, 0, 0, 0, 0, 7, 1, 10
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\sweetalert2-D3pEHXw3.js", "JavaScript", 0, 62, 0, 0, 0, 0, 3, 1, 66
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\swiper-BK7NJXpM.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\NEW_PLAZA\plazadental-v2\frontend\dist\assets\swiper-Ds_YmOBQ.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
